Var1,Var2,Estimate,Norm_L,Norm_U,Basic_L,Basic_U,Perc_L,Perc_U,Bca_L,Bca_U
aqi,so2,0.4,0.3833,0.416,0.383,0.4161,0.3832,0.4163,0.383,0.4162
aqi,co,0.556,0.5422,0.5702,0.5418,0.5707,0.5416,0.5704,0.5414,0.5702
aqi,o3,0.344,0.325,0.3634,0.3253,0.3636,0.3251,0.3634,0.325,0.3631
aqi,pm10,0.775,0.7666,0.7832,0.767,0.7833,0.7663,0.7827,0.7659,0.7825
aqi,pm2.5,0.861,0.8552,0.8673,0.8554,0.8678,0.8549,0.8672,0.8542,0.8668
aqi,no2,0.391,0.3738,0.4079,0.3734,0.4083,0.3731,0.408,0.3741,0.4098
aqi,nox,0.341,0.3248,0.3582,0.3249,0.3583,0.3246,0.358,0.3247,0.358
aqi,no,-0.001,-0.0204,0.0196,-0.0196,0.0197,-0.0207,0.0185,-0.0199,0.0189
aqi,windspeed,-0.013,-0.0334,0.0063,-0.0322,0.0078,-0.0347,0.0053,-0.0352,0.0051
aqi,winddirec,0.064,0.0434,0.0832,0.0438,0.0835,0.044,0.0837,0.0413,0.0801
so2,co,0.344,0.3259,0.3611,0.3262,0.3613,0.3257,0.3609,0.3256,0.3607
so2,o3,0.172,0.1517,0.1911,0.152,0.1915,0.1522,0.1917,0.1514,0.1913
so2,pm10,0.418,0.4009,0.4343,0.4008,0.4347,0.4005,0.4344,0.4001,0.4336
so2,pm2.5,0.422,0.4045,0.4394,0.4052,0.44,0.4041,0.4389,0.4034,0.4381
so2,no2,0.35,0.3319,0.3675,0.3314,0.3662,0.3332,0.368,0.3336,0.3682
so2,nox,0.343,0.3249,0.3605,0.3256,0.3603,0.3261,0.3608,0.325,0.3601
so2,no,0.177,0.1583,0.1968,0.1586,0.1967,0.1575,0.1956,0.1586,0.1969
so2,windspeed,0.076,0.0547,0.0966,0.0538,0.0976,0.0541,0.0979,0.0537,0.0969
so2,winddirec,0.076,0.0551,0.0958,0.0549,0.0951,0.0562,0.0965,0.0555,0.0955
co,o3,-0.048,-0.0677,-0.0271,-0.0673,-0.0267,-0.0683,-0.0278,-0.0685,-0.0278
co,pm10,0.486,0.4707,0.5018,0.4708,0.5021,0.4705,0.5019,0.4693,0.5013
co,pm2.5,0.583,0.57,0.5968,0.5697,0.5968,0.5693,0.5963,0.5701,0.5975
co,no2,0.798,0.7896,0.8059,0.7901,0.8058,0.7899,0.8056,0.7893,0.8053
co,nox,0.784,0.7755,0.7937,0.7759,0.7938,0.7751,0.7929,0.7756,0.7931
co,no,0.38,0.3621,0.3988,0.3623,0.3985,0.3625,0.3986,0.3621,0.3984
co,windspeed,-0.232,-0.2517,-0.2114,-0.2519,-0.2118,-0.2516,-0.2116,-0.2514,-0.2113
co,winddirec,-0.022,-0.0419,-0.0017,-0.0431,-0.0029,-0.0418,-0.0016,-0.0411,1e-4
o3,pm10,0.226,0.2066,0.2441,0.2059,0.2437,0.2075,0.2453,0.2077,0.2454
o3,pm2.5,0.209,0.1886,0.2286,0.1893,0.2288,0.1884,0.2279,0.1873,0.2272
o3,no2,-0.253,-0.2724,-0.2348,-0.272,-0.2354,-0.2716,-0.235,-0.2724,-0.2355
o3,nox,-0.289,-0.3069,-0.271,-0.3075,-0.271,-0.307,-0.2705,-0.3061,-0.2701
o3,no,-0.268,-0.2863,-0.2489,-0.2862,-0.2491,-0.2867,-0.2496,-0.2867,-0.2496
o3,windspeed,0.422,0.4058,0.439,0.4051,0.4387,0.4056,0.4392,0.4051,0.4391
o3,winddirec,0.046,0.0255,0.0675,0.0258,0.0686,0.0243,0.0671,0.024,0.0667
pm10,pm2.5,0.841,0.8345,0.8477,0.8345,0.848,0.8345,0.848,0.8339,0.8474
pm10,no2,0.395,0.3775,0.4127,0.3774,0.4126,0.3779,0.4131,0.3772,0.4125
pm10,nox,0.367,0.3502,0.3847,0.3512,0.3862,0.3478,0.3829,0.3483,0.3833
pm10,no,0.082,0.0613,0.1017,0.0611,0.1032,0.0598,0.1019,0.0598,0.1019
pm10,windspeed,-0.01,-0.031,0.0107,-0.0311,0.0116,-0.0318,0.0109,-0.0314,0.0113
pm10,winddirec,0.078,0.0573,0.0993,0.0571,0.1003,0.0553,0.0984,0.0562,0.0992
pm2.5,no2,0.462,0.4466,0.4778,0.4463,0.4782,0.4461,0.478,0.4456,0.4776
pm2.5,nox,0.424,0.4088,0.4412,0.4094,0.4408,0.4082,0.4396,0.4088,0.4408
pm2.5,no,0.085,0.0662,0.1061,0.0653,0.1061,0.0645,0.1053,0.0666,0.1064
pm2.5,windspeed,-0.079,-0.0985,-0.0576,-0.0989,-0.0577,-0.0995,-0.0582,-0.0982,-0.0572
pm2.5,winddirec,0.087,0.0664,0.1074,0.0654,0.1073,0.0666,0.1085,0.0663,0.10780000000000001
no2,nox,0.984,0.9828,0.9848,0.9828,0.9848,0.9828,0.9848,0.9827,0.9847
no2,no,0.478,0.4612,0.4944,0.4618,0.4953,0.4615,0.4951,0.4587,0.4934
no2,windspeed,-0.295,-0.3136,-0.277,-0.3141,-0.2768,-0.3125,-0.2751,-0.313,-0.2761
no2,winddirec,-0.028,-0.0486,-0.0074,-0.048,-0.0067,-0.0498,-0.0085,-0.0495,-0.0082
nox,no,0.602,0.5877,0.6155,0.5874,0.6159,0.5877,0.6162,0.5875,0.6154
nox,windspeed,-0.28,-0.2989,-0.2609,-0.299,-0.2615,-0.2981,-0.2606,-0.2985,-0.2607
nox,winddirec,-0.027,-0.0469,-0.0074,-0.0472,-0.0073,-0.0469,-0.007,-0.0471,-0.0074
no,windspeed,-0.065,-0.0857,-0.0442,-0.0862,-0.0441,-0.0857,-0.0436,-0.0862,-0.0445
no,winddirec,-0.006,-0.0264,0.0139,-0.0264,0.0133,-0.0254,0.0143,-0.0257,0.0139
windspeed,winddirec,-0.077,-0.0969,-0.0554,-0.0968,-0.053900000000000003,-0.0995,-0.0567,-0.0981,-0.0562
